Gene	Astrocyte_Fidelity	Microglia_Fidelity	Oligodendrocyte_Fidelity	Neuron_Fidelity
FASLG	4.504058645	-2.415301153	-4.656608247	-3.231674383
IL13RA2	4.868966141	11.23101528	-0.5290561385	20.81673117
IL11	2.394042408	-8.239200745	-3.90284067	-1.112113803
AGL	48.42186034	15.28193741	30.98088513	34.53700303
CCR2	8.10272406	-0.4976273258	-1.117273452	1.073572323
SELL	13.72985642	18.99186647	11.17244613	-6.434531074
TGFB1	25.58489736	55.15112679	20.8470753	-0.5321757655
ABAT	31.432611	12.52731748	9.159538844	34.47730998
ACHE	-10.90341328	15.60587844	6.134009614	18.56184441
ADORA3	4.261679951	100.7462925	44.38251772	2.358413466
ADRA1D	-0.7809317337	7.590033964	4.315185556	32.19640835
ADRA2B	-0.8755016392	-0.5329873924	0.4915673018	1.196008557
AHCY	-1.186979087	33.50370122	34.25464516	26.54435432
ALOX12	0.1378237833	6.576132442	1.61621206	-2.222947322
ALOX5	10.42022729	105.0186161	29.11927382	5.921349839
ANXA1	18.69776567	30.25701622	19.97888048	-1.998926207
ATP1A1	-24.58742066	12.16183255	9.754961359	37.55196131
AVPR1A	4.657402813	0.777346964	-4.011054438	6.54095264
BCKDHA	16.00962331	32.43148982	33.13229741	1.559765648
BDKRB1	-1.820465353	7.795500122	16.57442939	-0.01838290768
BLVRA	-2.123407917	33.15105279	15.35934972	27.14166309
BLVRB	11.47701297	35.41002626	12.45720114	12.43107062
TSPO	23.21926	61.22494022	48.09690088	-13.16338543
CACNA1D	10.7139793	3.989933897	1.018288784	46.93551424
CACNA2D1	1.572336152	0.2074034161	1.825350852	65.37789217
CACNG1	10.83505723	7.97923249	4.840098769	9.906003726
CCK	-12.71468543	11.78945635	-4.651215877	17.29252439
CD3D	5.238552489	16.1258917	13.28650203	1.198594369
CD3E	-0.9652191519	14.24520662	11.53212625	-6.153254943
CGA	2.222649074	-1.645389192	-3.342097492	-2.801521047
CHRNA3	5.015341408	-2.01232428	-2.882667675	20.83872857
CHRNA4	12.47591041	11.46736801	15.93341549	31.61541576
CHRNA7	10.27884064	16.16919368	10.07566522	25.06968072
CHRNB1	24.11594071	9.236682909	18.02714223	4.730556646
CHRNB2	1.831849438	0.4903292842	-1.534165476	44.92178922
CRAT	24.92380985	24.14067921	15.72373416	9.876359774
CRH	-2.124554091	-1.516998583	-3.448766075	33.10519208
CSF2	5.871513061	-4.112836037	-1.962307523	4.124688327
CSF3R	2.88923609	40.19460369	15.89893711	-3.983127449
DBH	-0.3690577517	10.47027392	-3.315173891	-1.565847027
DCK	-3.584070448	19.52194461	15.97038439	32.06410808
DDC	8.659034439	10.1269821	2.791528836	13.69643241
